,latitude,longitude,Nearest City,Country Code,Noon Temp(f),Humidity,Clouds,Wind Speed,Distance From Equator
310,-0.1385918417345593,-59.46000591916452,urucara,br,86.6,64.0,36.0,3.27,0.0
302,0.08273408455919196,116.04524122542077,loa janan,id,74.9,94.0,44.0,0.69,0.0
111,0.9505768570154025,-76.76958095903962,villagarzon,co,79.76,85.0,68.0,2.93,0.0
112,-0.8696551635068239,-1.592477930541449,takoradi,gh,83.27,100.0,8.0,7.74,0.0
85,-0.40401158302933027,17.99231433113134,mbandaka,cd,78.86,83.0,92.0,2.93,0.0
156,1.6059840894601223,-166.05796473026092,saleaula,ws,78.59,100.0,80.0,11.99,1.0
410,1.675358548622981,132.8015306646318,manokwari,id,84.35,99.0,36.0,20.83,1.0
489,1.6402655776616335,-61.833988464052354,boa vista,br,89.21,61.0,0.0,6.17,1.0
327,1.7392519679632947,-75.74235138581152,acevedo,co,73.24,100.0,92.0,1.14,1.0
462,1.1399724269618332,-63.92277330679822,santa isabel do rio negro,br,89.84,56.0,0.0,3.6,1.0
257,-1.2127771591016732,178.2266159123444,rungata,ki,82.87,99.0,80.0,16.58,1.0
275,-2.4593878475350124,76.00357903062472,hithadhoo,mv,84.31,100.0,76.0,9.86,2.0
238,-2.02785246470836,-6.662921845348592,tabou,ci,81.56,100.0,32.0,9.42,2.0
230,2.9514596772691917,143.76421790316164,lorengau,pg,81.52,100.0,80.0,10.31,2.0
166,3.9384195112055664,-15.270164395495293,bonthe,sl,81.52,100.0,32.0,4.05,3.0
473,3.836114554709283,66.50815397106152,mahibadhoo,mv,85.21,100.0,0.0,4.61,3.0
266,-3.5143319744247705,88.82170619772332,meulaboh,id,81.83,100.0,0.0,5.28,3.0
472,-3.5437663295558757,41.090178073839354,malindi,ke,83.0,100.0,12.0,9.19,3.0
381,3.643120456694618,-105.56160783636858,acapulco,mx,76.16,100.0,56.0,2.37,3.0
139,3.4213099718067994,10.461165481038321,lolodorf,cm,82.24,84.0,20.0,5.61,3.0
239,3.774324631554066,136.3719371276362,kloulklubed,pw,85.12,97.0,12.0,22.28,3.0
174,-3.5983721855210398,-177.87162613718917,vaitupu,wf,83.54,96.0,0.0,12.1,3.0
282,3.295449317572917,-64.76991687408913,inirida,co,79.4,65.0,24.0,4.38,3.0
283,-3.3706612957873325,25.83889634881156,kindu,cd,83.81,70.0,44.0,3.38,3.0
229,-3.0252854539582756,36.75801393691371,longido,tz,71.3,69.0,24.0,2.59,3.0
300,-3.0495194558208,-77.43239277324162,sucua,ec,77.15,86.0,88.0,3.83,3.0
31,3.4241287934691726,-47.746856385879134,amapa,br,80.03,100.0,12.0,17.36,3.0
399,-4.7957585779513,-161.90469563969208,samusu,ws,81.74,99.0,24.0,17.02,4.0
292,-4.872301122975777,-40.495793065983804,tamboril,br,83.81,88.0,36.0,7.96,4.0
148,4.512854055613033,41.05897570439281,mandera,ke,85.79,36.0,0.0,6.73,4.0
158,4.429564607233878,155.7571269971092,kavieng,pg,82.42,100.0,20.0,6.96,4.0
12,-4.712444993050553,-135.70376441355856,atuona,pf,78.68,100.0,80.0,13.11,4.0
14,4.5559374852661065,91.67332286754302,banda aceh,id,84.67,100.0,92.0,6.62,4.0
471,5.122906524407114,-117.98955939706045,san patricio,mx,78.14,100.0,32.0,3.94,5.0
319,-5.82070315822623,-47.03010204974924,montes altos,br,82.24,81.0,36.0,3.04,5.0
428,-5.630665070840028,110.00757871980358,mlonggo,id,82.96,100.0,44.0,8.08,5.0
444,-5.904482207389069,-77.12887413154252,rioja,pe,74.32,98.0,92.0,2.93,5.0
500,-5.987348248443304,171.58529687115697,lolua,tv,82.37,100.0,80.0,11.21,5.0
436,-5.371568369454149,53.21397687291831,victoria,sc,83.59,100.0,64.0,9.19,5.0
336,5.583560863896757,-166.09056194056538,makakilo city,us,80.26,100.0,80.0,10.76,5.0
409,5.4417964748223255,-16.970414758327145,goderich,sl,81.74,100.0,24.0,4.72,5.0
246,6.904629752731729,-62.25077888458233,upata,ve,70.31,88.0,80.0,2.71,6.0
293,6.702230269820333,92.2348414753647,sabang,id,85.25,99.0,20.0,9.42,6.0
365,-6.597517598241488,115.90570866504085,singaraja,id,83.59,100.0,76.0,8.52,6.0
184,-6.480288250214542,2.5603923042270225,omboue,ga,79.54,100.0,100.0,11.77,6.0
446,-6.6766035711988785,94.80772078071166,padang,id,81.61,100.0,32.0,1.92,6.0
30,-6.56648730824779,-85.79335903475204,paita,pe,77.92,100.0,92.0,8.63,6.0
356,6.970063221022954,77.46392648485318,kanniyakumari,in,82.51,100.0,0.0,5.28,6.0
490,7.339160586955714,42.64950430845781,ginir,et,90.34,17.0,0.0,2.93,7.0
201,-7.5802551086836765,-79.41703065305637,chicama,pe,70.58,92.0,20.0,1.59,7.0
84,7.29842266311649,-76.73953971694462,mutata,co,71.21,86.0,68.0,1.81,7.0
284,7.306942800844858,122.69128207795856,olutanga,ph,78.5,100.0,20.0,9.98,7.0
211,7.165410341403749,-41.66138887765612,carutapera,br,78.82,100.0,0.0,18.48,7.0
157,-7.579893458848897,-43.300540182194354,itaueira,br,81.47,94.0,44.0,8.19,7.0
418,7.1958331406342495,-54.716133122807385,marienburg,sr,78.23,100.0,32.0,15.35,7.0
481,7.782059381630106,47.420146196739324,garowe,so,91.87,29.0,0.0,11.65,7.0
93,-7.836190435484838,-77.89092382229042,huamachuco,pe,71.12,97.0,92.0,1.59,7.0
248,-8.083190309411926,167.31183585408166,lata,sb,84.04,100.0,80.0,7.63,8.0
338,8.778451012488873,73.44273197448402,dhidhdhoo,mv,83.63,100.0,8.0,4.38,8.0
220,8.705510552154998,1.82228249628254,bassila,bj,91.19,58.0,24.0,2.71,8.0
355,8.665646812996357,2.7798942665752264,tchaourou,bj,95.24,49.0,0.0,4.72,8.0
212,8.891475442570083,127.41497211003174,marihatag,ph,83.99,98.0,64.0,17.02,8.0
417,-9.279664631473235,-71.96589615793937,porto walter,br,77.06,79.0,44.0,5.17,9.0
228,9.227266057599387,-115.65814059086702,cabo san lucas,mx,80.3,100.0,76.0,16.02,9.0
